id_operacion,importe_operacion,saldo_medio_cliente,num_operaciones_30d,importe_total_30d,antiguedad_cliente_meses,score_crediticio,ratio_ingresos_deuda,num_alertas_previas,dias_desde_ultima_revision,porcentaje_operaciones_internacionales,canal_operacion,tipo_cliente,pais_riesgo,producto,segmento_riesgo_cliente,riesgo_auditoria
1,233.39,11739.05,17,3085.27,25.0,763.0,0.309,1,31.0,0.003,oficina,particular,bajo,prestamo,medio,0
2,829.72,411.47,15,10457.08,80.0,665.0,0.248,1,37.0,0.007,web,particular,bajo,transferencia,medio,0
3,176.14,2928.34,23,5525.19,21.0,610.0,0.257,0,269.0,0.439,cajero,particular,alto,tarjeta,medio,1
4,2141.27,3579.99,16,2347.29,71.0,776.0,0.211,0,326.0,0.12,web,pyme,bajo,cuenta,alto,0
5,1039.73,1938.84,16,9070.86,27.0,626.0,0.278,0,150.0,0.179,app,particular,bajo,cuenta,bajo,0
6,3367.88,29151.49,11,722.97,86.0,552.0,0.276,0,31.0,0.111,api,particular,bajo,tarjeta,medio,0
7,3843.8,3892.28,25,42013.52,30.0,708.0,0.424,0,54.0,0.058,oficina,particular,bajo,prestamo,bajo,0
8,823.45,2186.08,13,6563.48,41.0,681.0,0.17,1,60.0,0.028,oficina,empresa,bajo,cuenta,medio,0
9,167.71,9907.72,18,577.29,61.0,752.0,0.432,0,15.0,0.105,app,particular,bajo,transferencia,bajo,0
10,435.81,1254.64,17,4609.13,44.0,590.0,0.042,1,161.0,0.194,web,particular,medio,cuenta,medio,0
11,381.74,2265.92,25,5213.09,178.0,684.0,0.252,1,52.0,0.115,app,particular,bajo,transferencia,bajo,0
12,7023.2,8867.69,14,49326.05,33.0,622.0,0.179,1,270.0,0.014,cajero,particular,bajo,transferencia,medio,0
13,1225.43,2274.53,16,6815.42,26.0,701.0,0.166,0,10.0,0.014,web,pyme,medio,cuenta,bajo,0
14,1744.76,32630.3,23,14504.48,136.0,620.0,0.616,0,51.0,0.035,cajero,pyme,bajo,transferencia,bajo,0
15,4580.91,10931.63,15,49167.07,49.0,681.0,0.187,0,37.0,0.329,web,particular,bajo,transferencia,medio,0
16,1546.67,6537.64,27,19954.47,82.0,778.0,0.301,2,414.0,0.345,app,empresa,bajo,transferencia,bajo,1
17,1065.28,7890.34,15,5973.83,38.0,685.0,0.31,0,18.0,0.071,web,particular,bajo,tarjeta,bajo,0
18,2389.71,1460.81,15,12006.86,47.0,652.0,0.325,0,188.0,0.038,app,empresa,bajo,transferencia,medio,0
19,85.13,5726.69,22,0.0,70.0,800.0,0.177,0,114.0,0.099,cajero,particular,bajo,tarjeta,medio,0
20,196.48,1734.66,25,2168.05,67.0,668.0,0.43,0,211.0,0.069,web,particular,bajo,cuenta,medio,0
21,941.68,20392.98,13,868.44,109.0,700.0,0.278,1,183.0,0.217,oficina,pyme,bajo,inversion,bajo,0
22,2388.06,48503.49,15,34490.05,25.0,752.0,0.492,0,126.0,0.109,app,empresa,bajo,inversion,bajo,0
23,808.95,1716.64,19,3990.74,65.0,665.0,0.278,0,107.0,0.422,api,pyme,bajo,cuenta,medio,0
24,887.15,3603.1,17,12717.22,14.0,669.0,0.252,0,184.0,0.374,cajero,particular,alto,tarjeta,bajo,1
25,92.59,7196.95,18,1041.27,53.0,669.0,0.379,1,173.0,0.269,oficina,pyme,bajo,inversion,medio,0
26,2915.05,19875.07,15,8486.87,99.0,707.0,0.531,1,136.0,0.021,app,pyme,alto,tarjeta,bajo,0
27,5419.77,45309.93,23,18759.88,219.0,885.0,0.127,0,34.0,0.158,web,particular,bajo,tarjeta,bajo,0
28,158.65,5921.54,15,1059.88,73.0,779.0,0.352,0,6.0,0.053,app,particular,bajo,cuenta,bajo,0
29,85.79,26091.15,18,0.0,103.0,766.0,0.197,0,45.0,0.252,app,particular,bajo,tarjeta,medio,0
30,1899.5,6815.13,25,9251.27,44.0,604.0,0.423,0,8.0,0.282,web,particular,medio,tarjeta,bajo,0
31,2286.34,4053.42,20,18790.34,44.0,644.0,0.224,0,6.0,0.226,oficina,empresa,medio,transferencia,medio,1
32,15.37,1306.03,13,2779.09,58.0,729.0,0.287,2,18.0,0.415,api,particular,bajo,tarjeta,bajo,1
33,1341.68,3023.18,14,5001.33,57.0,521.0,0.052,0,27.0,0.128,app,particular,bajo,prestamo,bajo,0
34,537.93,5969.12,16,2680.94,69.0,612.0,0.342,0,424.0,0.316,app,particular,bajo,cuenta,alto,0
35,377.83,3888.96,20,487.55,26.0,782.0,0.151,0,24.0,0.097,web,pyme,bajo,transferencia,bajo,0
36,132.25,91242.09,17,2154.58,123.0,770.0,0.164,0,61.0,0.329,app,particular,alto,cuenta,bajo,0
37,1022.93,7954.65,22,11825.38,62.0,704.0,0.264,0,31.0,0.249,app,empresa,bajo,prestamo,bajo,0
38,359.53,4679.88,19,0.0,86.0,740.0,0.305,0,230.0,0.296,web,particular,bajo,transferencia,bajo,0
39,523.72,1305.2,24,6473.68,105.0,867.0,0.161,0,28.0,0.18,app,particular,bajo,transferencia,medio,0
40,7765.91,4058.25,16,51542.2,31.0,659.0,0.475,1,59.0,0.046,web,pyme,bajo,cuenta,bajo,0
41,6057.6,3391.79,18,85090.79,117.0,863.0,0.361,3,206.0,0.08,web,particular,bajo,transferencia,medio,1
42,2528.56,5489.4,16,33992.91,75.0,720.0,0.071,0,261.0,0.076,cajero,pyme,bajo,cuenta,bajo,0
43,288.11,40422.46,20,1217.46,79.0,664.0,0.146,1,323.0,0.024,oficina,particular,bajo,cuenta,medio,0
44,381.52,11760.26,18,1139.83,56.0,802.0,0.306,0,51.0,0.05,app,particular,bajo,transferencia,bajo,0
45,648.91,8431.0,19,7065.03,137.0,614.0,0.731,2,1.0,0.201,cajero,particular,bajo,cuenta,bajo,0
