cliente_id,edad,antiguedad_cliente,ingresos_mensuales,situacion_laboral,estado_civil,nivel_estudios,provincia_riesgo,segmento_cliente,num_productos,saldo_medio_3m,limite_credito,deuda_total,cuota_mensual_prestamos,utilizacion_credito,porcentaje_ahorro,ratio_endeudamiento,retrasos_30d_12m,retrasos_60d_12m,retrasos_90d_12m,impagos_previos,consultas_credito_6m,nuevas_cuentas_12m,uso_banca_digital,alertas_fraude_12m,reclamaciones_12m,tiene_hipoteca,tiene_prestamo_personal,tiene_tarjeta_credito,tiene_seguro,score_interno,default,dias_mora_actual,recobro_gestionado,refinanciado_post
1,30,9.9,1826.17,jubilado,soltero,universitarios,bajo,medio,1,2947.09,9949.01,6587.48,242.02,0.156,1.614,0.133,0,0,0,0,2,1,0.611,0,0,0,0,1,1,950,0,0,0,0
2,38,9.6,3981.7,temporal,soltero,medios,bajo,alto,3,4570.86,12598.07,36157.03,808.95,0.41,1.148,0.203,1,1,0,0,3,1,0.635,0,1,0,1,1,1,858,0,0,0,0
3,57,6.8,2090.93,autonomo,soltero,medios,medio,medio,1,4026.98,11305.5,17427.27,210.42,0.41,1.926,0.101,1,0,0,0,4,1,0.829,0,0,0,0,1,1,912,0,0,0,0
4,44,3.1,1611.53,asalariado,casado,universitarios,bajo,medio,1,2364.09,3621.55,8078.68,137.22,0.058,1.467,0.085,0,1,1,0,3,1,0.547,0,0,1,1,0,0,754,0,0,0,0
5,53,5.3,4903.26,asalariado,viudo,universitarios,alto,alto,2,10221.77,15645.8,29191.73,426.21,0.387,2.085,0.087,3,0,0,0,2,0,0.777,0,0,0,1,0,1,912,0,0,0,0
6,49,3.4,1889.22,asalariado,casado,universitarios,medio,medio,2,693.21,5129.79,7464.67,253.47,0.677,0.367,0.134,1,1,0,0,2,1,0.699,0,0,0,0,1,1,861,0,0,0,0
7,34,4.4,1293.9,asalariado,casado,universitarios,alto,bajo,1,3773.81,2741.45,6870.76,232.61,0.125,2.917,0.18,0,0,0,0,1,2,0.923,0,0,1,0,1,0,867,0,0,0,0
8,49,15.3,2788.36,asalariado,casado,basicos,medio,medio,3,864.21,12545.73,13533.83,283.12,0.317,0.31,0.102,0,0,0,0,3,2,0.686,0,2,1,0,1,0,950,0,0,0,0
9,38,7.3,1460.21,jubilado,soltero,medios,medio,medio,4,975.58,3147.72,3559.6,86.63,0.462,0.668,0.059,0,0,0,0,1,0,0.592,0,0,0,0,1,0,904,0,0,0,0
10,38,1.9,2815.64,asalariado,divorciado,medios,bajo,medio,2,1357.97,9409.85,239.03,8.66,0.336,0.482,0.003,2,1,0,0,3,0,0.889,0,2,0,0,1,0,809,0,0,0,0
11,43,3.0,3755.37,desempleado,divorciado,universitarios,medio,alto,4,7225.28,14067.49,7529.57,289.17,0.104,1.924,0.077,1,1,1,0,2,1,0.558,0,0,1,1,1,1,818,0,0,0,0
12,24,4.9,5935.24,asalariado,casado,universitarios,bajo,alto,2,-7.99,15076.08,25445.54,853.32,0.247,-0.001,0.144,1,1,0,0,2,2,0.336,0,0,0,0,0,0,877,0,0,0,0
13,56,8.5,1375.94,asalariado,soltero,postgrado,bajo,bajo,4,922.83,4399.11,2943.26,56.05,0.366,0.671,0.041,1,0,0,0,4,2,0.6,0,0,0,0,0,0,891,0,0,0,0
14,34,7.9,3877.87,asalariado,soltero,basicos,medio,alto,3,5271.34,12891.87,1679.85,31.48,0.804,1.359,0.008,2,0,1,0,5,2,0.452,0,0,0,0,1,1,772,0,0,0,0
15,54,12.8,6662.53,asalariado,divorciado,universitarios,medio,alto,2,11851.73,20713.52,46763.31,1412.35,0.134,1.779,0.212,1,0,0,0,1,1,0.904,0,0,0,1,0,0,950,0,0,0,0
16,44,15.3,2295.88,jubilado,casado,basicos,medio,medio,1,888.17,5169.79,5364.11,132.06,0.446,0.387,0.058,0,2,0,1,3,1,0.53,0,0,0,0,0,0,782,0,0,0,0
17,60,12.1,2612.63,asalariado,casado,universitarios,medio,medio,1,706.3,14357.93,10806.86,409.94,0.619,0.27,0.157,2,0,0,0,1,0,0.739,0,1,0,0,1,0,945,0,0,0,0
18,34,10.2,1769.83,asalariado,casado,medios,bajo,medio,4,2632.65,5458.3,8833.28,109.52,0.493,1.488,0.062,1,0,1,0,0,2,0.947,0,1,0,0,0,1,862,0,0,0,0
19,38,9.3,2283.57,temporal,soltero,medios,medio,medio,2,3116.06,9390.42,2885.16,50.17,0.594,1.365,0.022,1,1,0,0,1,0,0.76,0,1,1,0,1,1,873,0,0,0,0
20,46,14.0,1781.28,autonomo,casado,universitarios,bajo,medio,4,3739.2,6618.73,8892.91,268.41,0.022,2.099,0.151,1,0,0,0,1,1,0.797,0,1,0,0,0,0,950,0,0,0,0
21,18,2.8,1530.17,desempleado,casado,basicos,medio,medio,2,3580.65,4752.17,2406.77,83.9,0.539,2.34,0.055,1,0,0,0,4,1,0.638,0,0,0,0,0,1,869,0,0,0,0
22,52,10.2,3122.0,jubilado,divorciado,universitarios,medio,alto,2,2814.87,11701.78,21852.77,713.63,0.063,0.902,0.229,1,0,0,0,2,1,0.123,0,0,0,0,1,0,944,0,0,0,0
23,60,2.3,2645.4,temporal,divorciado,medios,alto,medio,3,3784.17,7404.06,17378.75,449.77,0.18,1.43,0.17,1,0,0,0,2,3,0.141,0,0,1,0,0,0,877,0,0,0,0
24,56,18.3,3090.64,jubilado,soltero,postgrado,medio,alto,3,-1812.14,14206.64,19055.66,248.26,0.341,-0.586,0.08,1,2,0,1,2,2,0.484,0,1,0,0,1,0,905,0,0,0,0
25,51,20.0,1850.79,autonomo,soltero,medios,medio,medio,5,1882.95,7090.19,6190.65,210.76,0.87,1.017,0.114,1,0,1,0,2,0,0.267,0,0,1,0,1,0,933,0,0,0,0
26,40,11.9,3518.12,desempleado,viudo,medios,bajo,alto,1,3744.98,16843.96,6345.8,116.75,0.472,1.064,0.033,3,1,0,0,1,1,0.712,1,0,0,1,1,0,927,0,0,0,0
27,57,19.7,1529.28,asalariado,divorciado,universitarios,alto,medio,3,915.51,3662.69,0.0,0.0,0.422,0.599,0.0,1,0,0,0,2,1,0.917,1,0,1,1,1,1,936,0,0,0,0
28,55,12.6,4802.75,desempleado,soltero,postgrado,bajo,alto,3,1194.21,12841.18,15494.78,500.17,0.426,0.249,0.104,2,1,0,0,1,1,0.868,0,0,1,1,1,0,889,0,0,0,0
29,47,5.2,2975.56,asalariado,casado,medios,bajo,medio,3,3168.06,16619.07,9389.44,352.43,0.232,1.065,0.118,0,0,0,0,2,2,0.715,0,0,0,1,1,1,940,0,0,0,0
30,42,17.6,2796.17,jubilado,casado,postgrado,alto,medio,5,61.17,10507.41,9074.62,129.44,0.214,0.022,0.046,2,0,0,0,3,2,0.172,0,1,0,0,1,1,950,0,0,0,0
31,38,9.6,2062.71,asalariado,casado,basicos,bajo,medio,2,1722.62,5867.88,10498.13,351.74,0.574,0.835,0.171,0,2,0,1,2,1,0.769,0,0,0,0,1,0,796,0,0,0,0
32,27,6.3,4825.25,asalariado,soltero,basicos,medio,alto,1,10669.06,14678.19,12581.53,147.12,0.47,2.211,0.03,0,0,0,0,4,0,0.566,1,1,0,1,1,0,887,0,0,0,0
33,57,16.5,6139.63,temporal,casado,universitarios,bajo,alto,4,15837.64,21737.27,27522.96,804.23,0.71,2.58,0.131,1,0,0,0,3,2,0.768,0,0,1,0,1,0,950,0,0,0,0
34,18,3.1,3146.47,asalariado,soltero,medios,bajo,alto,3,4623.24,16671.58,1962.17,24.97,0.057,1.469,0.008,0,0,0,0,2,3,0.79,0,1,0,0,1,0,944,0,0,0,0
35,38,17.6,1789.2,asalariado,soltero,medios,alto,medio,5,2769.83,3063.39,10014.98,193.31,0.28,1.548,0.108,0,0,0,0,1,1,0.64,0,0,0,1,0,1,950,0,0,0,0
36,44,11.9,1506.82,asalariado,casado,postgrado,bajo,medio,4,2621.11,6566.67,7785.02,83.59,0.665,1.739,0.055,1,1,0,0,4,1,0.908,0,0,0,0,1,0,907,0,0,0,0
37,52,15.8,1164.7,autonomo,soltero,basicos,medio,bajo,6,955.36,6213.16,6527.73,67.6,0.351,0.82,0.058,0,0,0,0,0,1,1.0,0,0,0,0,1,0,950,0,0,0,0
38,63,10.4,6333.53,asalariado,casado,universitarios,bajo,alto,5,2749.38,27053.07,35941.44,1347.75,0.377,0.434,0.213,2,4,0,1,2,0,0.753,0,1,0,0,1,1,740,0,0,0,0
39,54,14.5,1988.39,asalariado,soltero,basicos,bajo,medio,3,3216.6,4710.17,10501.83,169.78,0.468,1.618,0.085,2,2,0,1,0,2,0.653,0,0,1,1,0,0,928,0,0,0,0
40,39,12.3,2015.35,asalariado,casado,universitarios,medio,medio,3,4117.84,7842.37,12590.41,266.2,0.672,2.043,0.132,1,0,0,0,0,0,0.806,2,0,0,0,0,0,950,0,0,0,0
41,51,19.7,2098.74,jubilado,casado,universitarios,medio,medio,3,2579.67,6514.18,1666.15,29.64,0.291,1.229,0.014,1,0,0,0,4,1,0.556,0,0,0,1,1,0,950,0,0,0,0
42,27,7.0,1013.87,jubilado,soltero,medios,alto,bajo,6,1142.56,4342.94,6406.64,184.81,0.2,1.127,0.182,0,0,0,0,1,1,0.211,0,1,0,0,1,1,950,0,0,0,0
43,59,10.8,1840.99,jubilado,casado,basicos,medio,medio,1,922.8,6749.93,5353.03,163.48,0.686,0.501,0.089,0,0,0,0,1,0,0.384,1,0,1,0,0,1,899,0,0,0,0
44,40,20.2,1979.1,jubilado,soltero,universitarios,medio,medio,2,2379.28,5785.98,0.0,0.0,0.399,1.202,0.0,1,0,0,0,1,0,0.396,0,0,0,1,1,1,950,0,0,0,0
45,34,3.9,4306.54,jubilado,casado,basicos,bajo,alto,1,5330.33,12472.32,20732.96,302.38,0.911,1.238,0.07,1,0,0,0,0,1,0.498,0,0,0,0,1,0,893,0,0,0,0
46,34,0.5,2121.36,jubilado,soltero,universitarios,medio,medio,3,2113.61,6808.35,6704.71,245.34,0.488,0.996,0.116,0,0,0,0,1,0,0.597,0,0,0,0,1,0,874,0,0,0,0
47,41,15.9,3671.52,asalariado,viudo,medios,bajo,alto,5,11178.05,16477.07,12010.91,352.96,0.843,3.045,0.096,0,0,0,0,0,1,0.597,0,1,0,0,0,0,950,0,0,0,0
48,37,4.0,3432.45,autonomo,casado,universitarios,bajo,alto,2,3705.94,13638.14,28030.15,867.28,0.012,1.08,0.253,0,0,0,0,2,1,0.315,1,1,0,0,1,1,933,0,0,0,0
49,69,4.9,716.3,autonomo,soltero,basicos,medio,bajo,3,773.37,3399.28,4684.64,178.47,0.811,1.08,0.249,0,0,0,0,2,2,0.218,0,0,1,0,0,1,836,0,0,0,0
50,33,1.2,2452.58,asalariado,divorciado,medios,medio,medio,2,3928.47,1701.37,10620.61,146.56,0.516,1.602,0.06,1,0,0,0,4,1,0.768,0,0,1,0,0,1,869,0,0,0,0
51,42,15.6,2163.15,asalariado,casado,medios,bajo,medio,5,-816.14,7621.14,13433.45,209.81,0.848,-0.377,0.097,1,0,0,0,1,2,0.554,0,0,1,0,1,1,950,0,0,0,0
52,42,5.9,2916.91,asalariado,divorciado,medios,medio,medio,2,4310.24,10634.29,10472.58,187.56,0.242,1.478,0.064,1,0,0,0,1,1,0.576,0,0,1,0,0,0,917,0,0,0,0
53,42,11.0,1429.22,jubilado,soltero,universitarios,bajo,medio,2,96.17,3494.78,4130.39,58.36,0.421,0.067,0.041,0,0,0,0,2,0,0.859,0,0,0,0,1,0,908,0,0,0,0
54,43,14.3,2320.88,desempleado,viudo,medios,bajo,medio,3,4352.72,3023.54,2578.33,90.72,0.517,1.875,0.039,3,0,0,1,1,0,0.756,1,0,0,0,1,1,851,0,0,0,0
55,36,2.8,1987.25,asalariado,casado,medios,alto,medio,3,4088.85,6808.41,8671.36,305.56,0.774,2.058,0.154,2,0,0,0,2,0,0.335,0,1,0,0,0,1,880,0,0,0,0
56,35,11.2,1852.42,asalariado,divorciado,medios,bajo,medio,2,3587.21,5077.3,3500.98,58.72,0.118,1.936,0.032,2,0,0,0,1,0,0.773,1,0,0,0,0,0,950,0,0,0,0
57,32,5.5,4110.89,autonomo,divorciado,basicos,bajo,alto,4,5660.66,22094.28,26671.57,707.36,0.494,1.377,0.172,3,0,0,0,8,2,1.0,0,0,0,1,1,1,834,0,0,0,0
58,24,1.1,1732.08,asalariado,casado,universitarios,medio,medio,2,1830.8,6086.0,8922.87,158.8,0.693,1.057,0.092,2,0,0,0,3,1,0.609,0,0,0,0,1,1,829,0,0,0,0
59,45,10.4,1414.14,asalariado,soltero,medios,bajo,medio,6,1016.04,7218.41,2415.32,86.49,0.521,0.718,0.061,2,0,0,0,1,1,0.179,0,0,0,0,1,0,950,0,0,0,0
60,54,9.4,4180.01,autonomo,soltero,medios,medio,alto,3,7181.0,15520.89,13512.18,400.06,0.267,1.718,0.096,0,0,1,0,6,1,0.705,0,0,1,0,0,1,830,0,0,0,0
61,35,10.7,2054.17,temporal,divorciado,basicos,medio,medio,2,1776.58,4578.6,14239.24,269.66,0.671,0.865,0.131,0,0,0,0,2,0,0.318,0,0,0,0,1,1,928,0,0,0,0
62,35,9.0,1568.15,asalariado,soltero,postgrado,medio,medio,2,2061.35,6417.69,5917.73,77.88,0.461,1.315,0.05,1,0,0,0,3,1,0.745,0,1,0,0,1,0,935,0,0,0,0
63,38,5.0,3021.94,asalariado,soltero,universitarios,bajo,alto,4,519.78,4876.47,1585.03,45.08,0.231,0.172,0.015,1,0,0,0,1,0,0.429,2,0,1,1,1,0,950,0,0,0,0
64,36,11.7,2384.12,desempleado,soltero,basicos,medio,medio,2,97.65,11606.02,2090.99,56.25,0.321,0.041,0.024,1,1,1,1,2,0,0.723,0,1,0,0,1,0,739,0,0,0,0
65,25,4.8,4702.38,desempleado,casado,basicos,bajo,alto,6,6099.38,16049.64,25837.47,705.12,0.408,1.297,0.15,3,0,0,0,3,1,0.716,0,0,0,1,1,0,854,0,0,0,0
66,58,10.9,1621.82,temporal,viudo,medios,medio,medio,3,934.53,6875.78,20.3,0.39,0.722,0.576,0.0,3,0,0,0,3,1,0.294,0,0,0,0,0,0,892,0,0,0,0
67,47,2.5,2193.18,asalariado,casado,universitarios,bajo,medio,6,5911.38,2466.91,3981.79,111.5,0.69,2.695,0.051,0,0,0,0,0,3,0.46,0,0,1,0,0,1,933,0,0,0,0
68,33,7.5,1844.34,asalariado,soltero,postgrado,bajo,medio,3,956.8,6663.1,7248.84,148.37,0.188,0.519,0.08,1,1,0,0,2,1,0.62,0,0,0,1,1,1,847,0,0,0,0
69,46,10.1,1791.31,asalariado,soltero,universitarios,bajo,medio,2,1157.32,1883.2,5773.03,152.97,0.771,0.646,0.085,0,1,0,0,2,1,0.826,0,3,0,0,1,0,887,0,0,0,0
70,37,9.2,2890.57,jubilado,divorciado,postgrado,bajo,medio,4,3088.32,6384.77,18847.79,271.59,0.33,1.068,0.094,0,0,0,0,0,1,0.708,0,1,0,0,0,0,950,0,0,0,0
71,39,9.5,3825.21,asalariado,soltero,universitarios,bajo,alto,3,4525.92,13015.03,18237.39,555.42,0.207,1.183,0.145,0,0,0,0,2,2,0.331,0,0,1,0,0,1,908,0,0,0,0
72,46,3.4,1627.22,asalariado,divorciado,basicos,bajo,medio,6,3063.66,6215.95,11023.12,115.93,0.297,1.883,0.071,1,1,0,0,2,0,0.819,0,0,0,0,1,1,902,0,0,0,0
73,53,5.7,2525.31,asalariado,casado,universitarios,medio,medio,3,4164.84,6883.54,2752.57,96.93,0.301,1.649,0.038,1,0,1,1,3,1,0.343,0,0,1,0,0,0,720,0,0,0,0
74,60,6.7,3224.99,autonomo,soltero,universitarios,medio,alto,2,7797.25,8625.56,8975.06,327.36,0.49,2.418,0.102,0,0,0,0,0,1,0.516,1,0,0,1,1,1,950,0,0,0,0
75,62,2.5,5106.05,asalariado,casado,universitarios,bajo,alto,2,5164.42,27960.25,25384.11,735.24,0.253,1.011,0.144,1,0,0,0,2,2,0.69,0,0,0,0,1,1,911,0,0,0,0
76,39,4.6,3055.17,asalariado,soltero,medios,bajo,alto,4,5331.48,10835.06,9445.25,213.66,0.587,1.745,0.07,1,1,0,0,3,1,0.826,0,2,0,0,1,1,875,0,0,0,0
77,36,8.2,1637.55,autonomo,soltero,medios,medio,medio,5,704.39,3053.59,4488.11,117.46,0.235,0.43,0.072,0,1,0,0,3,0,0.467,0,0,0,0,0,1,906,0,0,0,0
78,43,15.4,2346.55,asalariado,soltero,universitarios,bajo,medio,3,-500.99,5098.02,10531.29,211.45,0.092,-0.214,0.09,0,1,0,0,4,1,0.904,0,0,0,1,1,1,935,0,0,0,0
79,44,1.1,1684.8,asalariado,divorciado,medios,medio,medio,4,7273.01,5235.54,962.74,32.96,0.732,4.317,0.02,2,1,0,0,0,1,0.949,0,0,1,0,0,1,824,0,0,0,0
80,33,4.8,1934.35,temporal,soltero,universitarios,bajo,medio,1,1219.25,3569.95,5617.48,119.8,0.206,0.63,0.062,1,1,0,0,0,2,0.295,0,0,0,0,0,1,893,0,0,0,0
81,35,9.8,3055.49,asalariado,divorciado,basicos,medio,alto,1,4566.54,2761.57,19467.14,431.38,0.205,1.495,0.141,1,0,0,0,0,0,0.506,0,1,0,0,1,0,950,0,0,0,0
82,52,6.5,1614.63,asalariado,casado,basicos,bajo,medio,1,2084.07,4198.45,6276.38,239.77,0.346,1.291,0.148,0,0,0,0,1,1,0.624,0,0,1,0,0,0,875,0,0,0,0
83,62,12.4,5002.52,desempleado,casado,basicos,medio,alto,6,13837.34,19182.31,26193.24,837.32,0.792,2.766,0.167,1,2,1,0,1,0,0.402,0,0,1,0,1,1,870,0,0,0,0
